blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError,wallet_address,protocol_version
8472545,0x671c321d574442aa6d5201f10248038051b0fcadf74438105e53b6dea20b5d40,1567451347,0x1c61798644a09960097e8d16570248b3e899e5437ca3ef15febcf67a10a4017d,696,24,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0,450000,2100000000,0xc2998238000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000070000000000000000000000006c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e000000000000000000000000f5dce57282a584d2746faf1593d3121fcac444dc0000000000000000000000004ddc2d193948926d02f9b1fe9e1daa0718270ed5000000000000000000000000158079ee67fce2f58472a96584a73c7ab9ac95c100000000000000000000000039aa39c021dfbae8fac545936693ac917d5e7563000000000000000000000000c11b1268c1a384e55c48c2391d8d480264a3a7f4000000000000000000000000b3319f5d18bc0d84dd1b4825dcde5d5f7266d407,0xc2998238,enterMarkets(address[] cTokens),,7806165,1,389445,14531079,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V2
8472638,0xafcd760b6afcd557d6f04111dfa5bb9caf1bed95226c890db81ef090bb421381,1567452595,0xcac4ca8b91a33e216c1c94f6fcc8482ef512a185bcc5a83396a67d518b00b6aa,702,29,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,450000,2100000000,0xc5ebeaec0000000000000000000000000000000000000000000000000000000165a0bc00,0xc5ebeaec,borrow(uint256 borrowAmount),,7135817,1,343438,14530986,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
8545898,0x4f6264eec25c77a281a4c02885f52ea4b1b01763a1e142179ea3b172aa2a5d6b,1568440161,0x4222b4ec01ba08cbc4d02b349a76dc468ecb64a108f939818e369f61dbde2c5b,714,92,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,450000,12000000000,0x0e752702ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0x0e752702,repayBorrow(uint256 repayAmount),,6722738,1,114632,14457726,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
10930336,0x04072abf76a394355a283a271c1f1ad2c0770d4d234cdf6f16afa74df3516e75,1601016752,0x60d625f026853e117176228fe5313a0d3f769b0e9a7c5bd23becf422bb8c426b,1257,116,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,534537,90000000000,0xa0712d6800000000000000000000000000000000000000000000222810ab0c0832661f9c,0xa0712d68,mint(uint256 mintedAmount),,6283022,1,311828,12073293,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
10946527,0x5f2f34c06f1ae86671da5b86b516699fa7687d088a294f35fff37ed8538b41d9,1601235410,0xce956fd4904e3ee277b7bede5d335c0a2a83825b0a258c7e10618cb4f2b6eeb9,1271,50,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,467850,70000000000,0xdb006a750000000000000000000000000000000000000000000000000002c5889c6a7880,0xdb006a75,redeem(uint256 tokens),,4470572,1,286857,12057102,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
11752354,0xcf1cd40d8ddb59b76d95f6244881bd34e5e39c8e85026a762a73b3e7a155cf74,1611944108,0x1efa3f8d31210b8dab87ad6e8123db0e668cf9aeb75e8d8429c46a90e1d74bf7,1370,83,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,272020,128700000000,0xa0712d680000000000000000000000000000000000000000000000000000000d95f5f08d,0xa0712d68,mint(uint256 mintedAmount),,7007837,1,205716,11251275,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
11794636,0xfe9135341ce35172dbe9f7d79b3ce7a0c7c33ee5519ad16dec7e32e36cd188fc,1612506281,0x335d36e0c44c2497a688e8d336527c4de11bcd9775dd748d61da8d7f1d641a34,1373,71,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,472020,160000000000,0xdb006a750000000000000000000000000000000000000000000000000000f6ad19809751,0xdb006a75,redeem(uint256 tokens),,8983300,1,364053,11208993,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
12034580,0x945816a14c8a2cd12ec379155a7e0ef4846efcdfffdd443fd5607c1ad7389d5c,1615696754,0x8f4c35854a7fd6fcda351970b0c1a977b9c1bd390d426b3bed4fc5fb0b075462,1411,44,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,452020,121000000000,0x852a12e300000000000000000000000000000000000000000000000000000003b9aca000,0x852a12e3,redeemUnderlying(uint256 redeemAmount),,2998948,1,361546,10969049,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
12064851,0xc21aea6aa224ef6052a9d293e8d1fcdbe044ba9d13da48f6ed3bdcbde1b6a0b6,1616099263,0x72f35f938c73944ce06628159b3abad785f976e3d0661cb6c6bb46dc9c67bcfe,1416,158,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,452020,171000000000,0x852a12e30000000000000000000000000000000000000000000000000000000252dab700,0x852a12e3,redeemUnderlying(uint256 redeemAmount),,10482472,1,364607,10938778,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
12129475,0xa649160ed2d746de322ba85369a7c110c2dda797b6beaf1f591b3dfc00ce2498,1616958526,0x582e5b868b9bf022850b6b51499c65344633357c90af344d10c5a2f9ce79fc04,1421,156,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,44308,181000000000,0x095ea7b300000000000000000000000011111112542d85b3ef69ae05771c2dccff4faa26ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,0x095ea7b3,"approve(address _spender, uint256 _value)",,6503931,1,44308,10874154,0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,V3
